"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Feb 17 02:41:06 UTC 2024","Sat Feb 17 02:41:09 UTC 2024","2662","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sat Feb 17 02:28:11 UTC 2024","Sat Feb 17 02:28:12 UTC 2024","580","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sat Feb 17 02:28:02 UTC 2024","Sat Feb 17 02:28:11 UTC 2024","9365","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Sat Feb 17 04:29:36 UTC 2024","Sat Feb 17 04:29:38 UTC 2024","1291","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Sat Feb 17 02:39:48 UTC 2024","Sat Feb 17 02:40:06 UTC 2024","18011","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sat Feb 17 02:59:08 UTC 2024","Sat Feb 17 02:59:24 UTC 2024","15997","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Sat Feb 17 02:55:01 UTC 2024","Sat Feb 17 02:55:02 UTC 2024","854","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"skipped","Sat Feb 17 02:19:04 UTC 2024","Sat Feb 17 02:19:04 UTC 2024","3","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Sat Feb 17 04:15:27 UTC 2024","Sat Feb 17 04:15:32 UTC 2024","4878","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Sat Feb 17 02:59:31 UTC 2024","Sat Feb 17 02:59:32 UTC 2024","1374","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Sat Feb 17 03:43:11 UTC 2024","Sat Feb 17 03:43:13 UTC 2024","2488","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Sat Feb 17 03:42:46 UTC 2024","Sat Feb 17 03:43:01 UTC 2024","14753","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Sat Feb 17 03:31:55 UTC 2024","Sat Feb 17 03:31:58 UTC 2024","2729","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Sat Feb 17 03:26:19 UTC 2024","Sat Feb 17 03:27:07 UTC 2024","47474","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Sat Feb 17 04:29:05 UTC 2024","Sat Feb 17 04:29:08 UTC 2024","2963","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sat Feb 17 04:16:14 UTC 2024","Sat Feb 17 04:17:20 UTC 2024","66094","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Sat Feb 17 02:34:25 UTC 2024","Sat Feb 17 02:34:44 UTC 2024","19710","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","4. Complete Risk Profile",""
"passed","Sat Feb 17 04:13:21 UTC 2024","Sat Feb 17 04:13:24 UTC 2024","3722","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
